"replicate","mle_mu","mle_xi","mle_tau","postmed_mu","postmed_xi","postmed_tau","true_mu","true_xi","true_tau","diff_postmed_mle_mu","diff_postmed_mle_xi","diff_postmed_mle_tau","diff_postmed_true_mu","diff_postmed_true_xi","diff_postmed_true_tau","edist_postmed_mle","edist_postmed_true"
1,9.93582687425556,0.147192292546628,2.14950557784194,9.91359551539202,0.157312892000898,2.24759597052302,10,0.2,2,-0.0222313588635448,0.0101205994542696,0.0980903926810766,-0.0864044846079821,-0.0426871079991021,0.247595970523018,0.101086027652496,0.265690964786033
2,9.74267434531153,0.508231025465247,1.86574177829461,9.75958451481713,0.468731736281534,1.93776244656418,10,0.2,2,0.0169101695055982,-0.0394992891837135,0.0720206682695728,-0.240415485182867,0.268731736281534,-0.0622375534358213,0.0838637247963775,0.36590964001824
3,9.92042319153023,0.147300246685309,1.90113310538665,9.88385239314483,0.164431662158627,1.96161498827134,10,0.2,2,-0.0365707983854051,0.0171314154733174,0.0604818828846887,-0.116147606855172,-0.0355683378413732,-0.0383850117286637,0.0727252834160347,0.127392238226633
4,9.84223133328704,0.27400164104443,1.41034730137938,9.82441555458314,0.275177765334994,1.47318091076063,10,0.2,2,-0.0178157787039019,0.00117612429056424,0.0628336093812518,-0.175584445416865,0.0751777653349939,-0.526819089239367,0.0653211122612666,0.560374826932927
5,10.166320977307,-0.0653871130059408,1.82422023647707,10.1762831946126,-0.072041751556685,1.90734002303616,10,0.2,2,0.00996221730565061,-0.00665463855074419,0.0831197865590898,0.176283194612601,-0.272041751556685,-0.0926599769638434,0.0839787407950054,0.337147372262922
6,9.91607905114924,0.0690087448639247,1.88634162487462,9.92482035182603,0.0532494187120487,1.98074659564401,10,0.2,2,0.00874130067679069,-0.015759326151876,0.0944049707693857,-0.0751796481739699,-0.146750581287951,-0.0192534043559944,0.0961096519827839,0.166007247393627
7,10.5820768329124,0.083865280134965,2.32246173432728,10.5342688988541,0.0920905365547645,2.36401672343677,10,0.2,2,-0.0478079340583051,0.00822525641979956,0.0415549891094935,0.534268898854057,-0.107909463445235,0.36401672343677,0.0638754297205492,0.655435644076065
8,9.84523889379049,0.124180778993767,2.09553016917066,9.78557460259774,0.138852714347897,2.16454845553087,10,0.2,2,-0.0596642911927514,0.0146719353541297,0.069018286360214,-0.214425397402257,-0.0611472856521034,0.164548455530874,0.0924046383179421,0.27711628572015
9,10.3811757198671,0.0764848132348261,2.09809782660653,10.3939166239326,0.060006346919086,2.17153879529304,10,0.2,2,0.0127409040655184,-0.01647846631574,0.0734409686865094,0.393916623932576,-0.139993653080914,0.171538795293043,0.0763377126336556,0.451878399355364
10,9.92108336361712,0.0625387012498148,2.1022562386286,9.9504438657205,0.0593818970524752,2.20161949951636,10,0.2,2,0.0293605021033763,-0.00315680419733956,0.0993632608877588,-0.0495561342795039,-0.140618102947525,0.201619499516357,0.10365839141503,0.250758218023887
11,10.3166153859241,0.341319964451013,1.85817372018766,10.4096637524867,0.295545183202633,2.03316099716337,10,0.2,2,0.0930483665626056,-0.0457747812483798,0.174987276975712,0.40966375248669,0.0955451832026334,0.0331609971633688,0.203405693680586,0.421963178331439
12,9.79125278757558,0.503956199909913,2.17645888137901,9.85120300283356,0.47214537950484,2.31197387782658,10,0.2,2,0.0599502152579792,-0.0318108204050732,0.13551499644757,-0.148796997166439,0.27214537950484,0.31197387782658,0.151559463137432,0.4399219867178
13,10.0468241399825,0.38889145079475,2.01152662274383,10.053518749185,0.391483844463596,2.09103031271517,10,0.2,2,0.00669460920251375,0.00259239366884589,0.079503689971332,0.0535187491849847,0.191483844463596,0.0910303127151662,0.0798271571356911,0.218670613110004
14,10.217548008322,0.0178239821628367,1.96076279711794,10.2333069827791,0.00829095071433598,2.06403628536527,10,0.2,2,0.0157589744571283,-0.0095330314485007,0.103273488247333,0.23330698277908,-0.191709049285664,0.064036285365269,0.104902990135222,0.308682933825104
15,9.53524632902209,0.329052520181579,1.53419182002861,9.55520035492492,0.327276650425307,1.61010896735298,10,0.2,2,0.019954025902825,-0.00177586975627159,0.07591714732437,-0.444799645075085,0.127276650425307,-0.389891032647023,0.0785157953598635,0.605029823513659
16,9.95308002958581,0.33754139087377,1.83547392046735,9.93336757486927,0.355519609341922,1.90287915908502,10,0.2,2,-0.0197124547165384,0.0179782184681522,0.0674052386176629,-0.0666324251307309,0.155519609341922,-0.0971208409149829,0.0724931955658202,0.195086357054254
17,9.42696723678118,0.321644541106287,1.37782689726701,9.44247842101416,0.313697565238953,1.45007062389742,10,0.2,2,0.0155111842329774,-0.00794697586733406,0.0722437266304083,-0.55752157898584,0.113697565238953,-0.549929376102581,0.074316265374375,0.791315212842963
18,10.3462924342835,0.224829479653845,2.18350123676866,10.3338944099721,0.216331929160591,2.26990819855469,10,0.2,2,-0.0123980243114215,-0.0084975504932536,0.0864069617860315,0.333894409972123,0.0163319291605914,0.269908198554688,0.0877045176504876,0.429654098744299
19,10.7662400473761,0.146855777416393,2.33588861992199,10.7758724013408,0.138460423167923,2.43414947981922,10,0.2,2,0.00963235396469031,-0.00839535424846982,0.0982608598972252,0.775872401340763,-0.0615395768320772,0.434149479819217,0.0990881466352081,0.891207536719843
20,10.064813534356,0.0736435911211807,2.27197449859243,10.0924443530341,0.0682142987947611,2.37816445143661,10,0.2,2,0.0276308186781051,-0.00542929232641962,0.106189952844188,0.0924443530340735,-0.131785701205239,0.378164451436613,0.109860117608889,0.411000951069945
21,10.2783844260863,0.0156551866622198,2.0054626305705,10.2580829184322,0.0221604755067485,2.03881754497252,10,0.2,2,-0.020301507654132,0.00650528884452874,0.03335491440202,0.258082918432207,-0.177839524493252,0.0388175449725203,0.039585607368684,0.315817179798953
22,9.89360813514821,0.171893853200478,1.99672037930968,9.92441401065418,0.170545743709591,2.10202647547115,10,0.2,2,0.0308058755059673,-0.00134810949088715,0.105306096161462,-0.0755859893458215,-0.0294542562904089,0.102026475471146,0.109727814402983,0.130346448728272
23,9.89793515452893,0.181792599994749,1.94560534790834,9.89962690927803,0.191721951555714,2.02653411819469,10,0.2,2,0.00169175474910332,0.0099293515609655,0.0809287702863497,-0.100373090721966,-0.00827804844428576,0.0265341181946939,0.0815531723270966,0.104150577797226
24,10.3900529085805,0.100217394822492,1.98757009264936,10.3991374228422,0.101435452934749,2.06999690925933,10,0.2,2,0.00908451426171375,0.0012180581122567,0.0824268166099695,0.399137422842212,-0.0985645470652512,0.0699969092593271,0.0829348669824077,0.417043426464391
25,9.76622053669241,0.361759529305502,1.73913439476883,9.77614455438405,0.339917855922977,1.79837048090831,10,0.2,2,0.0099240176916453,-0.0218416733825245,0.0592360861394796,-0.223855445615946,0.139917855922977,-0.20162951909169,0.0639097701796589,0.332178761974849
26,10.4239465345515,0.138822998194682,2.24644037957319,10.4396645254546,0.1402726216326,2.33652256750307,10,0.2,2,0.0157179909031164,0.00144962343791757,0.0900821879298785,0.439664525454571,-0.0597273783674,0.33652256750307,0.0914546730811289,0.55688391349427
27,9.91068788211649,0.308188112995898,2.07923074938622,9.91107759825911,0.303919351703093,2.15736367853113,10,0.2,2,0.000389716142620955,-0.00426876129280479,0.078132929144914,-0.0889224017408878,0.103919351703093,0.157363678531134,0.0782504237586668,0.208494010730786
28,9.36929590512256,0.264078363172431,1.53912793808404,9.39913421589148,0.244016402131144,1.61130016036992,10,0.2,2,0.0298383107689197,-0.020061961041287,0.072172222285882,-0.600865784108523,0.0440164021311442,-0.388699839630077,0.0806327274749374,0.716983053842536
29,9.94436897071422,0.162799288307949,1.46721274874167,9.94876126020495,0.147164040935063,1.53626540773937,10,0.2,2,0.00439228949072934,-0.0156352473728852,0.0690526589977043,-0.0512387397950462,-0.0528359590649367,-0.463734592260629,0.0709367526888207,0.469538943097618
30,10.2593442096453,0.222531692934685,1.94349681645812,10.2619596210079,0.237298804061879,2.03004723943002,10,0.2,2,0.00261541136259247,0.0147671111271936,0.0865504229719007,0.261959621007883,0.037298804061879,0.0300472394300177,0.0878401028246972,0.266302235102157
31,10.2681688141479,0.311503778006508,1.97057745898552,10.299766805215,0.319694529584448,2.08823532302341,10,0.2,2,0.0315979910671373,0.00819075157794036,0.117657864037894,0.299766805215022,0.119694529584448,0.0882353230234107,0.12210198368925,0.334622757968296
32,9.89031080596904,0.14806502310059,2.01049989585233,9.87196972449852,0.158471055047524,2.07887641796349,10,0.2,2,-0.0183410814705152,0.0104060319469335,0.0683765221111581,-0.128030275501477,-0.0415289449524761,0.0788764179634911,0.0715543817414864,0.156006070473559
33,9.75474829721834,0.258920346596275,2.07165365945256,9.78257811755816,0.258372323499497,2.18984066146279,10,0.2,2,0.027829820339818,-0.00054802309677815,0.11818700201023,-0.21742188244184,0.0583723234994973,0.189840661462793,0.121420618815863,0.294481034805154
34,10.6998130923449,-0.0742017716915374,2.27761609805355,10.6955473537087,-0.0724788211210674,2.37839293031239,10,0.2,2,-0.00426573863622437,0.00172295057046999,0.100776832258844,0.695547353708657,-0.272478821121067,0.37839293031239,0.1008817872805,0.837384045059995
35,9.76875921406361,0.263693046277762,1.56526547680782,9.75203937290747,0.262390802874803,1.62365090871855,10,0.2,2,-0.0167198411561422,-0.00130224340295859,0.0583854319107282,-0.247960627092528,0.0623908028748034,-0.376349091281454,0.0607462557329211,0.454989805797733
36,9.89109082769112,0.340056323233829,1.77043556727004,9.89990707286475,0.343984753102009,1.86633209944906,10,0.2,2,0.00881624517363733,0.00392842986818065,0.0958965321790244,-0.100092927135245,0.143984753102009,-0.133667900550937,0.0963810335291833,0.22049333510572
37,9.70964393952718,0.392944944299334,1.75306436368368,9.70945905088649,0.387026988626217,1.80664558836696,10,0.2,2,-0.000184888640688996,-0.00591795567311776,0.053581224683271,-0.29054094911351,0.187026988626217,-0.193354411633044,0.0539073651899034,0.395953363521931
38,10.1278506621848,0.275007462227918,2.57573619697778,10.1256068666411,0.281934284422715,2.68395703229124,10,0.2,2,-0.00224379554373755,0.00692682219479712,0.108220835313462,0.125606866641093,0.0819342844227149,0.683957032291238,0.108465499953229,0.700205351259109
39,9.5650686130899,0.185960170778946,1.96966940787316,9.57504610803399,0.185440789200642,2.07307578898245,10,0.2,2,0.00997749494409206,-0.000519381578304695,0.103406381109294,-0.424953891966013,-0.0145592107993583,0.0730757889824503,0.103887919493576,0.43143696161962
